split,method,seed,episodes,success_rate,success_ci95,final_distance_mean,final_distance_ci95,normalized_progress_mean,normalized_progress_ci95
combined_shift,branch_counterfactual_mpc,0,16,0.3125,0.2346,0.1121,0.0259,0.7073,0.0732
combined_shift,branch_counterfactual_mpc,1,16,0.1875,0.1975,0.1158,0.0202,0.7059,0.0534
combined_shift,branch_counterfactual_mpc,2,16,0.2500,0.2191,0.0945,0.0157,0.7497,0.0399
combined_shift,branch_counterfactual_mpc,3,16,0.5000,0.2530,0.0769,0.0269,0.7997,0.0719
combined_shift,branch_counterfactual_mpc,4,16,0.3125,0.2346,0.1038,0.0273,0.7315,0.0697
combined_shift,ensemble_mean_mpc,0,16,0.2500,0.2191,0.1152,0.0200,0.7083,0.0499
combined_shift,ensemble_mean_mpc,1,16,0.3125,0.2346,0.1040,0.0257,0.7349,0.0654
combined_shift,ensemble_mean_mpc,2,16,0.3750,0.2450,0.0920,0.0233,0.7511,0.0676
combined_shift,ensemble_mean_mpc,3,16,0.6250,0.2450,0.0713,0.0218,0.8094,0.0559
combined_shift,ensemble_mean_mpc,4,16,0.3750,0.2450,0.1078,0.0294,0.7122,0.0834
combined_shift,nominal_single_branch_mpc,0,16,0.1875,0.1975,0.1343,0.0326,0.6497,0.0872
combined_shift,nominal_single_branch_mpc,1,16,0.1875,0.1975,0.1180,0.0256,0.6987,0.0657
combined_shift,nominal_single_branch_mpc,2,16,0.2500,0.2191,0.1018,0.0219,0.7261,0.0659
combined_shift,nominal_single_branch_mpc,3,16,0.4375,0.2511,0.0901,0.0248,0.7624,0.0654
combined_shift,nominal_single_branch_mpc,4,16,0.1250,0.1674,0.1299,0.0225,0.6555,0.0602
combined_shift,oracle_hidden_params,0,16,0.1875,0.1975,0.1156,0.0256,0.7022,0.0710
combined_shift,oracle_hidden_params,1,16,0.2500,0.2191,0.1118,0.0284,0.7138,0.0733
combined_shift,oracle_hidden_params,2,16,0.3125,0.2346,0.0948,0.0168,0.7491,0.0464
combined_shift,oracle_hidden_params,3,16,0.2500,0.2191,0.1026,0.0249,0.7306,0.0625
combined_shift,oracle_hidden_params,4,16,0.5000,0.2530,0.0974,0.0305,0.7440,0.0788
combined_shift,random_push,0,16,0.0625,0.1225,0.1909,0.0609,0.5385,0.1192
combined_shift,random_push,1,16,0.0625,0.1225,0.2276,0.0587,0.4206,0.1460
combined_shift,random_push,2,16,0.1250,0.1674,0.1743,0.0490,0.5485,0.1170
combined_shift,random_push,3,16,0.1875,0.1975,0.1441,0.0297,0.6196,0.0796
combined_shift,random_push,4,16,0.0000,0.0000,0.1925,0.0202,0.4973,0.0521
combined_shift,robust_worst_case_mpc,0,16,0.2500,0.2191,0.1149,0.0301,0.6953,0.0863
combined_shift,robust_worst_case_mpc,1,16,0.1875,0.1975,0.1155,0.0225,0.7027,0.0610
combined_shift,robust_worst_case_mpc,2,16,0.4375,0.2511,0.0878,0.0293,0.7599,0.0889
combined_shift,robust_worst_case_mpc,3,16,0.2500,0.2191,0.0998,0.0216,0.7370,0.0545
combined_shift,robust_worst_case_mpc,4,16,0.5000,0.2530,0.0998,0.0322,0.7366,0.0858
heavy_object,branch_counterfactual_mpc,0,16,0.5625,0.2511,0.0726,0.0119,0.7767,0.0305
heavy_object,branch_counterfactual_mpc,1,16,0.6250,0.2450,0.0702,0.0173,0.7842,0.0516
heavy_object,branch_counterfactual_mpc,2,16,0.4375,0.2511,0.0719,0.0157,0.7677,0.0549
heavy_object,branch_counterfactual_mpc,3,16,0.6875,0.2346,0.0610,0.0140,0.8016,0.0479
heavy_object,branch_counterfactual_mpc,4,16,0.6250,0.2450,0.0613,0.0151,0.8028,0.0520
heavy_object,ensemble_mean_mpc,0,16,0.5625,0.2511,0.0726,0.0119,0.7767,0.0305
heavy_object,ensemble_mean_mpc,1,16,0.6250,0.2450,0.0702,0.0173,0.7842,0.0516
heavy_object,ensemble_mean_mpc,2,16,0.4375,0.2511,0.0719,0.0157,0.7677,0.0549
heavy_object,ensemble_mean_mpc,3,16,0.6875,0.2346,0.0610,0.0140,0.8016,0.0479
heavy_object,ensemble_mean_mpc,4,16,0.6250,0.2450,0.0588,0.0165,0.8103,0.0563
heavy_object,nominal_single_branch_mpc,0,16,0.4375,0.2511,0.0779,0.0188,0.7614,0.0521
heavy_object,nominal_single_branch_mpc,1,16,0.6250,0.2450,0.0671,0.0150,0.7934,0.0454
heavy_object,nominal_single_branch_mpc,2,16,0.4375,0.2511,0.0715,0.0214,0.7659,0.0723
heavy_object,nominal_single_branch_mpc,3,16,0.8125,0.1975,0.0503,0.0122,0.8366,0.0422
heavy_object,nominal_single_branch_mpc,4,16,0.5000,0.2530,0.0690,0.0219,0.7724,0.0785
heavy_object,oracle_hidden_params,0,16,0.6875,0.2346,0.0528,0.0144,0.8380,0.0420
heavy_object,oracle_hidden_params,1,16,0.8125,0.1975,0.0463,0.0130,0.8568,0.0390
heavy_object,oracle_hidden_params,2,16,0.8125,0.1975,0.0490,0.0124,0.8431,0.0373
heavy_object,oracle_hidden_params,3,16,0.9375,0.1225,0.0422,0.0088,0.8617,0.0335
heavy_object,oracle_hidden_params,4,16,0.8125,0.1975,0.0513,0.0133,0.8312,0.0497
heavy_object,random_push,0,16,0.0625,0.1225,0.1659,0.0320,0.4809,0.1078
heavy_object,random_push,1,16,0.1250,0.1674,0.1378,0.0287,0.5713,0.0950
heavy_object,random_push,2,16,0.0625,0.1225,0.1642,0.0264,0.4474,0.1108
heavy_object,random_push,3,16,0.1875,0.1975,0.1338,0.0275,0.5715,0.0827
heavy_object,random_push,4,16,0.0625,0.1225,0.1384,0.0250,0.5618,0.0680
heavy_object,robust_worst_case_mpc,0,16,0.5000,0.2530,0.0735,0.0137,0.7677,0.0448
heavy_object,robust_worst_case_mpc,1,16,0.5000,0.2530,0.0755,0.0172,0.7660,0.0528
heavy_object,robust_worst_case_mpc,2,16,0.4375,0.2511,0.0752,0.0137,0.7540,0.0497
heavy_object,robust_worst_case_mpc,3,16,0.6250,0.2450,0.0727,0.0125,0.7597,0.0434
heavy_object,robust_worst_case_mpc,4,16,0.5000,0.2530,0.0732,0.0108,0.7653,0.0345
high_friction,branch_counterfactual_mpc,0,16,0.9375,0.1225,0.0448,0.0125,0.8576,0.0393
high_friction,branch_counterfactual_mpc,1,16,0.8125,0.1975,0.0449,0.0185,0.8613,0.0570
high_friction,branch_counterfactual_mpc,2,16,0.8125,0.1975,0.0570,0.0154,0.8324,0.0460
high_friction,branch_counterfactual_mpc,3,16,0.8125,0.1975,0.0543,0.0160,0.8205,0.0493
high_friction,branch_counterfactual_mpc,4,16,0.8750,0.1674,0.0491,0.0121,0.8415,0.0353
high_friction,ensemble_mean_mpc,0,16,0.9375,0.1225,0.0483,0.0112,0.8468,0.0350
high_friction,ensemble_mean_mpc,1,16,0.8125,0.1975,0.0452,0.0186,0.8604,0.0571
high_friction,ensemble_mean_mpc,2,16,0.8125,0.1975,0.0577,0.0152,0.8306,0.0451
high_friction,ensemble_mean_mpc,3,16,0.8125,0.1975,0.0543,0.0160,0.8205,0.0493
high_friction,ensemble_mean_mpc,4,16,0.8750,0.1674,0.0491,0.0121,0.8415,0.0353
high_friction,nominal_single_branch_mpc,0,16,0.5000,0.2530,0.0875,0.0231,0.7366,0.0570
high_friction,nominal_single_branch_mpc,1,16,0.6250,0.2450,0.0628,0.0236,0.8072,0.0694
high_friction,nominal_single_branch_mpc,2,16,0.6250,0.2450,0.0684,0.0205,0.7988,0.0582
high_friction,nominal_single_branch_mpc,3,16,0.5625,0.2511,0.0702,0.0213,0.7736,0.0624
high_friction,nominal_single_branch_mpc,4,16,0.7500,0.2191,0.0631,0.0230,0.7979,0.0698
high_friction,oracle_hidden_params,0,16,0.8750,0.1674,0.0517,0.0121,0.8356,0.0424
high_friction,oracle_hidden_params,1,16,0.7500,0.2191,0.0423,0.0145,0.8679,0.0417
high_friction,oracle_hidden_params,2,16,0.8125,0.1975,0.0498,0.0127,0.8556,0.0372
high_friction,oracle_hidden_params,3,16,1.0000,0.0000,0.0402,0.0095,0.8676,0.0285
high_friction,oracle_hidden_params,4,16,0.9375,0.1225,0.0428,0.0101,0.8585,0.0339
high_friction,random_push,0,16,0.0000,0.0000,0.1485,0.0190,0.5249,0.0709
high_friction,random_push,1,16,0.1875,0.1975,0.1347,0.0248,0.5676,0.0844
high_friction,random_push,2,16,0.0000,0.0000,0.1494,0.0243,0.5692,0.0602
high_friction,random_push,3,16,0.3750,0.2450,0.1318,0.0371,0.5469,0.1371
high_friction,random_push,4,16,0.2500,0.2191,0.1284,0.0287,0.5759,0.0951
high_friction,robust_worst_case_mpc,0,16,0.9375,0.1225,0.0429,0.0127,0.8669,0.0349
high_friction,robust_worst_case_mpc,1,16,0.8750,0.1674,0.0441,0.0110,0.8611,0.0325
high_friction,robust_worst_case_mpc,2,16,0.8750,0.1674,0.0386,0.0125,0.8884,0.0362
high_friction,robust_worst_case_mpc,3,16,0.8750,0.1674,0.0531,0.0137,0.8166,0.0535
high_friction,robust_worst_case_mpc,4,16,0.8750,0.1674,0.0477,0.0109,0.8419,0.0361
low_friction,branch_counterfactual_mpc,0,16,0.1250,0.1674,0.0967,0.0162,0.6941,0.0513
low_friction,branch_counterfactual_mpc,1,16,0.0625,0.1225,0.1069,0.0112,0.6430,0.0532
low_friction,branch_counterfactual_mpc,2,16,0.0625,0.1225,0.0986,0.0100,0.6897,0.0362
low_friction,branch_counterfactual_mpc,3,16,0.0625,0.1225,0.1068,0.0135,0.6798,0.0444
low_friction,branch_counterfactual_mpc,4,16,0.2500,0.2191,0.0910,0.0139,0.7011,0.0583
low_friction,ensemble_mean_mpc,0,16,0.1250,0.1674,0.0967,0.0162,0.6941,0.0513
low_friction,ensemble_mean_mpc,1,16,0.0625,0.1225,0.1072,0.0112,0.6420,0.0536
low_friction,ensemble_mean_mpc,2,16,0.0625,0.1225,0.1004,0.0098,0.6844,0.0352
low_friction,ensemble_mean_mpc,3,16,0.0625,0.1225,0.1053,0.0125,0.6834,0.0435
low_friction,ensemble_mean_mpc,4,16,0.2500,0.2191,0.0913,0.0141,0.7004,0.0585
low_friction,nominal_single_branch_mpc,0,16,0.0000,0.0000,0.1269,0.0135,0.6004,0.0439
low_friction,nominal_single_branch_mpc,1,16,0.1250,0.1674,0.1075,0.0150,0.6405,0.0632
low_friction,nominal_single_branch_mpc,2,16,0.1250,0.1674,0.1110,0.0195,0.6523,0.0605
low_friction,nominal_single_branch_mpc,3,16,0.1250,0.1674,0.1057,0.0121,0.6820,0.0435
low_friction,nominal_single_branch_mpc,4,16,0.1250,0.1674,0.1220,0.0179,0.6051,0.0684
low_friction,oracle_hidden_params,0,16,0.4375,0.2511,0.0753,0.0197,0.7674,0.0594
low_friction,oracle_hidden_params,1,16,0.5625,0.2511,0.0667,0.0152,0.7820,0.0535
low_friction,oracle_hidden_params,2,16,0.5625,0.2511,0.0709,0.0192,0.7851,0.0526
low_friction,oracle_hidden_params,3,16,0.5625,0.2511,0.0748,0.0218,0.7755,0.0647
low_friction,oracle_hidden_params,4,16,0.5625,0.2511,0.0642,0.0171,0.7904,0.0600
low_friction,random_push,0,16,0.0000,0.0000,0.1741,0.0276,0.4360,0.1132
low_friction,random_push,1,16,0.0000,0.0000,0.1954,0.0244,0.3432,0.1131
low_friction,random_push,2,16,0.0000,0.0000,0.1700,0.0261,0.4609,0.0901
low_friction,random_push,3,16,0.0000,0.0000,0.1963,0.0307,0.4158,0.0930
low_friction,random_push,4,16,0.0625,0.1225,0.2137,0.0392,0.3380,0.1188
low_friction,robust_worst_case_mpc,0,16,0.1875,0.1975,0.0953,0.0180,0.6962,0.0581
low_friction,robust_worst_case_mpc,1,16,0.1250,0.1674,0.0949,0.0093,0.6824,0.0443
low_friction,robust_worst_case_mpc,2,16,0.0000,0.0000,0.1014,0.0085,0.6790,0.0353
low_friction,robust_worst_case_mpc,3,16,0.1875,0.1975,0.1025,0.0163,0.6927,0.0505
low_friction,robust_worst_case_mpc,4,16,0.2500,0.2191,0.0886,0.0168,0.7132,0.0622
nominal,branch_counterfactual_mpc,0,16,0.6250,0.2450,0.0606,0.0152,0.8118,0.0448
nominal,branch_counterfactual_mpc,1,16,0.8125,0.1975,0.0657,0.0145,0.8044,0.0373
nominal,branch_counterfactual_mpc,2,16,0.6875,0.2346,0.0617,0.0109,0.7989,0.0372
nominal,branch_counterfactual_mpc,3,16,0.7500,0.2191,0.0555,0.0153,0.8256,0.0507
nominal,branch_counterfactual_mpc,4,16,0.5625,0.2511,0.0652,0.0194,0.8033,0.0556
nominal,ensemble_mean_mpc,0,16,0.6250,0.2450,0.0606,0.0152,0.8118,0.0448
nominal,ensemble_mean_mpc,1,16,0.8125,0.1975,0.0637,0.0153,0.8106,0.0406
nominal,ensemble_mean_mpc,2,16,0.6875,0.2346,0.0609,0.0104,0.8014,0.0359
nominal,ensemble_mean_mpc,3,16,0.7500,0.2191,0.0555,0.0153,0.8256,0.0507
nominal,ensemble_mean_mpc,4,16,0.5625,0.2511,0.0638,0.0200,0.8091,0.0570
nominal,nominal_single_branch_mpc,0,16,0.5000,0.2530,0.0645,0.0174,0.8015,0.0499
nominal,nominal_single_branch_mpc,1,16,0.6250,0.2450,0.0773,0.0228,0.7732,0.0599
nominal,nominal_single_branch_mpc,2,16,0.5625,0.2511,0.0678,0.0180,0.7780,0.0595
nominal,nominal_single_branch_mpc,3,16,0.7500,0.2191,0.0521,0.0165,0.8385,0.0453
nominal,nominal_single_branch_mpc,4,16,0.5000,0.2530,0.0714,0.0209,0.7868,0.0561
nominal,oracle_hidden_params,0,16,0.9375,0.1225,0.0485,0.0122,0.8431,0.0439
nominal,oracle_hidden_params,1,16,0.9375,0.1225,0.0401,0.0116,0.8789,0.0339
nominal,oracle_hidden_params,2,16,0.5625,0.2511,0.0600,0.0167,0.7968,0.0635
nominal,oracle_hidden_params,3,16,0.9375,0.1225,0.0407,0.0106,0.8686,0.0371
nominal,oracle_hidden_params,4,16,0.8750,0.1674,0.0473,0.0137,0.8530,0.0447
nominal,random_push,0,16,0.1875,0.1975,0.1418,0.0319,0.5596,0.0937
nominal,random_push,1,16,0.0000,0.0000,0.1741,0.0238,0.4728,0.0608
nominal,random_push,2,16,0.1875,0.1975,0.1772,0.0334,0.4134,0.1206
nominal,random_push,3,16,0.1875,0.1975,0.1646,0.0374,0.4731,0.1227
nominal,random_push,4,16,0.2500,0.2191,0.1391,0.0395,0.5645,0.1188
nominal,robust_worst_case_mpc,0,16,0.6250,0.2450,0.0650,0.0173,0.7914,0.0548
nominal,robust_worst_case_mpc,1,16,0.6250,0.2450,0.0728,0.0185,0.7727,0.0621
nominal,robust_worst_case_mpc,2,16,0.6875,0.2346,0.0575,0.0123,0.8085,0.0445
nominal,robust_worst_case_mpc,3,16,0.6875,0.2346,0.0664,0.0120,0.7866,0.0398
nominal,robust_worst_case_mpc,4,16,0.3125,0.2346,0.0843,0.0175,0.7432,0.0507
