split,baseline,paired_episodes,success_delta_mean,success_delta_ci95,success_delta_bootstrap_low,success_delta_bootstrap_high,success_delta_signflip_p,distance_improvement_mean,distance_improvement_ci95,distance_improvement_bootstrap_low,distance_improvement_bootstrap_high,distance_improvement_signflip_p,progress_delta_mean,progress_delta_ci95,branch_wins_distance,branch_losses_distance
actuation_noise,random_push,160,0.3312,0.0846,0.2437,0.4188,0.0002,0.0662,0.0130,0.0531,0.0796,0.0002,0.2103,0.0423,127,32
actuation_noise,nominal_single_branch_mpc,160,0.0688,0.1128,-0.0500,0.1812,0.2764,0.0013,0.0105,-0.0092,0.0123,0.8095,0.0002,0.0343,80,80
actuation_noise,ensemble_mean_mpc,160,-0.0125,0.1099,-0.1187,0.1000,0.9065,-0.0027,0.0107,-0.0135,0.0076,0.6313,-0.0110,0.0345,77,83
actuation_noise,domain_randomized_mpc,160,0.0125,0.1057,-0.0938,0.1125,0.9080,0.0017,0.0107,-0.0088,0.0120,0.7498,0.0044,0.0345,78,82
actuation_noise,adaptive_id_mpc,160,0.0125,0.1028,-0.0875,0.1250,0.9083,-0.0009,0.0106,-0.0114,0.0105,0.8618,-0.0061,0.0347,81,79
actuation_noise,robust_worst_case_mpc,160,-0.0563,0.1075,-0.1625,0.0563,0.3492,0.0066,0.0131,-0.0066,0.0199,0.3342,0.0185,0.0417,83,77
actuation_noise,robust_mean_hybrid_mpc,160,0.0187,0.0975,-0.0750,0.1187,0.7996,0.0023,0.0103,-0.0081,0.0121,0.6543,0.0066,0.0344,86,74
actuation_noise,branch_counterfactual_mpc,160,-0.1000,0.1102,-0.2062,0.0187,0.0995,-0.0088,0.0107,-0.0197,0.0028,0.1095,-0.0337,0.0348,77,83
actuation_noise,oracle_hidden_params,160,0.0000,0.1028,-0.1000,0.1000,1.0000,-0.0043,0.0103,-0.0140,0.0055,0.4196,-0.0153,0.0335,81,79
adversarial_low_friction_heavy,random_push,160,0.0063,0.0122,0.0000,0.0187,1.0000,0.0880,0.0172,0.0723,0.1060,0.0002,0.2003,0.0349,129,31
adversarial_low_friction_heavy,nominal_single_branch_mpc,160,-0.0063,0.0213,-0.0312,0.0125,1.0000,0.0002,0.0061,-0.0057,0.0061,0.9315,0.0023,0.0161,78,82
adversarial_low_friction_heavy,ensemble_mean_mpc,160,0.0000,0.0174,-0.0187,0.0187,1.0000,-0.0026,0.0049,-0.0074,0.0022,0.2894,-0.0065,0.0130,76,84
adversarial_low_friction_heavy,domain_randomized_mpc,160,0.0000,0.0174,-0.0187,0.0187,1.0000,-0.0043,0.0051,-0.0093,0.0004,0.1002,-0.0102,0.0138,75,85
adversarial_low_friction_heavy,adaptive_id_mpc,160,-0.0187,0.0273,-0.0500,0.0063,0.3757,0.0000,0.0055,-0.0056,0.0057,0.9858,-0.0008,0.0146,75,85
adversarial_low_friction_heavy,robust_worst_case_mpc,160,-0.0375,0.0343,-0.0750,-0.0063,0.0770,-0.0051,0.0053,-0.0102,0.0001,0.0617,-0.0150,0.0140,77,83
adversarial_low_friction_heavy,robust_mean_hybrid_mpc,160,-0.0063,0.0213,-0.0250,0.0125,1.0000,-0.0015,0.0050,-0.0067,0.0035,0.5736,-0.0052,0.0133,80,79
adversarial_low_friction_heavy,branch_counterfactual_mpc,160,0.0063,0.0122,0.0000,0.0187,1.0000,-0.0062,0.0047,-0.0109,-0.0017,0.0105,-0.0170,0.0126,65,95
adversarial_low_friction_heavy,oracle_hidden_params,160,-0.0063,0.0213,-0.0250,0.0125,1.0000,-0.0031,0.0052,-0.0081,0.0021,0.2357,-0.0088,0.0137,67,93
combined_shift,random_push,160,0.2125,0.0822,0.1313,0.3000,0.0002,0.0666,0.0135,0.0529,0.0803,0.0002,0.1656,0.0326,123,37
combined_shift,nominal_single_branch_mpc,160,0.0875,0.0822,0.0063,0.1688,0.0570,0.0111,0.0097,0.0018,0.0209,0.0227,0.0306,0.0252,91,69
combined_shift,ensemble_mean_mpc,160,-0.0437,0.0803,-0.1250,0.0375,0.3604,-0.0065,0.0078,-0.0142,0.0011,0.1032,-0.0167,0.0202,71,89
combined_shift,domain_randomized_mpc,160,-0.0375,0.0849,-0.1250,0.0500,0.4716,-0.0054,0.0087,-0.0139,0.0033,0.2277,-0.0126,0.0229,70,90
combined_shift,adaptive_id_mpc,160,-0.0625,0.0828,-0.1437,0.0187,0.1762,-0.0075,0.0081,-0.0152,0.0006,0.0665,-0.0205,0.0207,64,96
combined_shift,robust_worst_case_mpc,160,-0.0125,0.0851,-0.1000,0.0750,0.8880,-0.0011,0.0083,-0.0093,0.0074,0.8003,-0.0026,0.0208,81,79
combined_shift,robust_mean_hybrid_mpc,160,-0.0750,0.0807,-0.1562,0.0063,0.0975,-0.0107,0.0077,-0.0187,-0.0031,0.0072,-0.0275,0.0203,66,93
combined_shift,branch_counterfactual_mpc,160,-0.0187,0.0860,-0.1062,0.0688,0.7693,0.0007,0.0084,-0.0075,0.0092,0.8745,0.0026,0.0218,72,88
combined_shift,oracle_hidden_params,160,-0.0125,0.0903,-0.1062,0.0750,0.8915,-0.0025,0.0086,-0.0114,0.0060,0.5649,-0.0054,0.0222,79,81
contact_offset,random_push,160,0.0000,0.0952,-0.0938,0.0938,1.0000,-0.0017,0.0139,-0.0156,0.0119,0.8153,-0.0058,0.0439,78,82
contact_offset,nominal_single_branch_mpc,160,-0.0312,0.0910,-0.1250,0.0625,0.5906,-0.0031,0.0134,-0.0160,0.0097,0.6548,-0.0077,0.0412,73,87
contact_offset,ensemble_mean_mpc,160,0.0187,0.0911,-0.0688,0.1125,0.7971,0.0046,0.0137,-0.0086,0.0182,0.5161,0.0132,0.0431,82,78
contact_offset,domain_randomized_mpc,160,-0.0375,0.0918,-0.1250,0.0563,0.5079,-0.0083,0.0127,-0.0210,0.0046,0.1990,-0.0235,0.0394,78,82
contact_offset,adaptive_id_mpc,160,0.0375,0.0934,-0.0500,0.1375,0.5224,0.0091,0.0140,-0.0051,0.0233,0.1985,0.0292,0.0441,86,74
contact_offset,robust_worst_case_mpc,160,-0.0063,0.0944,-0.1062,0.0875,1.0000,-0.0010,0.0146,-0.0156,0.0141,0.8908,-0.0050,0.0448,75,85
contact_offset,robust_mean_hybrid_mpc,160,-0.0375,0.0950,-0.1313,0.0625,0.5131,0.0002,0.0132,-0.0126,0.0137,0.9760,0.0024,0.0415,83,76
contact_offset,branch_counterfactual_mpc,160,0.0063,0.0944,-0.0875,0.1000,1.0000,0.0020,0.0144,-0.0119,0.0160,0.7971,0.0087,0.0453,73,87
contact_offset,oracle_hidden_params,160,-0.0750,0.0945,-0.1625,0.0187,0.1587,-0.0070,0.0140,-0.0208,0.0068,0.3212,-0.0219,0.0433,78,82
heavy_object,random_push,160,0.4125,0.0909,0.3250,0.5000,0.0002,0.0809,0.0109,0.0703,0.0915,0.0002,0.2522,0.0346,137,23
heavy_object,nominal_single_branch_mpc,160,0.0500,0.0754,-0.0187,0.1313,0.2549,0.0056,0.0051,0.0007,0.0108,0.0270,0.0155,0.0165,49,36
heavy_object,ensemble_mean_mpc,160,0.0187,0.0589,-0.0375,0.0750,0.6831,0.0009,0.0038,-0.0030,0.0046,0.6578,0.0018,0.0137,27,20
heavy_object,domain_randomized_mpc,160,0.0250,0.0575,-0.0312,0.0813,0.5314,0.0000,0.0037,-0.0038,0.0038,0.9873,-0.0007,0.0134,23,19
heavy_object,adaptive_id_mpc,160,0.0563,0.0633,-0.0063,0.1187,0.1210,0.0027,0.0041,-0.0014,0.0069,0.2057,0.0075,0.0148,35,26
heavy_object,robust_worst_case_mpc,160,-0.0375,0.0813,-0.1187,0.0437,0.4474,-0.0008,0.0059,-0.0066,0.0054,0.8013,-0.0000,0.0199,56,47
heavy_object,robust_mean_hybrid_mpc,160,0.0125,0.0576,-0.0437,0.0688,0.8268,0.0015,0.0036,-0.0020,0.0051,0.4031,0.0045,0.0130,28,20
heavy_object,branch_counterfactual_mpc,160,0.0250,0.0601,-0.0312,0.0875,0.5244,0.0009,0.0039,-0.0031,0.0048,0.6528,0.0018,0.0140,28,21
heavy_object,oracle_hidden_params,160,-0.2500,0.0833,-0.3312,-0.1688,0.0002,-0.0152,0.0050,-0.0201,-0.0104,0.0002,-0.0499,0.0164,26,76
high_friction,random_push,160,0.6250,0.0915,0.5312,0.7125,0.0002,0.0845,0.0107,0.0738,0.0955,0.0002,0.2698,0.0347,141,19
high_friction,nominal_single_branch_mpc,160,0.0938,0.0830,0.0125,0.1750,0.0395,0.0091,0.0075,0.0019,0.0163,0.0170,0.0200,0.0233,54,40
high_friction,ensemble_mean_mpc,160,-0.1250,0.0596,-0.1812,-0.0688,0.0002,-0.0098,0.0047,-0.0144,-0.0053,0.0002,-0.0353,0.0160,15,44
high_friction,domain_randomized_mpc,160,-0.0875,0.0532,-0.1375,-0.0375,0.0027,-0.0074,0.0045,-0.0120,-0.0031,0.0010,-0.0262,0.0151,13,36
high_friction,adaptive_id_mpc,160,-0.1187,0.0611,-0.1812,-0.0625,0.0005,-0.0103,0.0047,-0.0150,-0.0060,0.0002,-0.0369,0.0159,26,56
high_friction,robust_worst_case_mpc,160,-0.1750,0.0640,-0.2375,-0.1125,0.0002,-0.0186,0.0052,-0.0238,-0.0135,0.0002,-0.0621,0.0171,11,68
high_friction,robust_mean_hybrid_mpc,160,-0.1437,0.0572,-0.2000,-0.0875,0.0002,-0.0133,0.0046,-0.0181,-0.0089,0.0002,-0.0469,0.0161,6,45
high_friction,branch_counterfactual_mpc,160,-0.1250,0.0596,-0.1812,-0.0688,0.0002,-0.0098,0.0047,-0.0144,-0.0053,0.0002,-0.0352,0.0160,18,47
high_friction,oracle_hidden_params,160,-0.1000,0.0678,-0.1688,-0.0375,0.0072,-0.0088,0.0049,-0.0137,-0.0041,0.0010,-0.0329,0.0163,39,69
light_object,random_push,160,0.4500,0.0883,0.3625,0.5375,0.0002,0.0703,0.0108,0.0596,0.0808,0.0002,0.2281,0.0354,137,23
light_object,nominal_single_branch_mpc,160,-0.0250,0.0736,-0.1000,0.0500,0.6248,-0.0019,0.0057,-0.0079,0.0039,0.5239,-0.0081,0.0196,44,47
light_object,ensemble_mean_mpc,160,-0.0125,0.0650,-0.0813,0.0500,0.8383,-0.0021,0.0049,-0.0071,0.0028,0.4109,-0.0086,0.0181,27,30
light_object,domain_randomized_mpc,160,0.0063,0.0589,-0.0563,0.0688,1.0000,0.0008,0.0041,-0.0032,0.0051,0.6923,0.0023,0.0150,25,27
light_object,adaptive_id_mpc,160,-0.0125,0.0673,-0.0875,0.0563,0.8480,-0.0023,0.0052,-0.0076,0.0031,0.4049,-0.0099,0.0194,31,35
light_object,robust_worst_case_mpc,160,-0.0500,0.0773,-0.1313,0.0250,0.2869,-0.0029,0.0069,-0.0100,0.0038,0.4081,-0.0111,0.0242,54,45
light_object,robust_mean_hybrid_mpc,160,0.0000,0.0673,-0.0688,0.0688,1.0000,-0.0006,0.0051,-0.0059,0.0043,0.8218,-0.0042,0.0193,29,22
light_object,branch_counterfactual_mpc,160,-0.0125,0.0650,-0.0813,0.0500,0.8383,-0.0022,0.0049,-0.0071,0.0027,0.3782,-0.0088,0.0181,26,30
light_object,oracle_hidden_params,160,-0.2750,0.0736,-0.3500,-0.2000,0.0002,-0.0205,0.0052,-0.0260,-0.0154,0.0002,-0.0669,0.0174,16,83
low_friction,random_push,160,0.0938,0.0691,0.0250,0.1562,0.0145,0.0816,0.0119,0.0696,0.0929,0.0002,0.2590,0.0382,137,23
low_friction,nominal_single_branch_mpc,160,0.1250,0.0596,0.0688,0.1812,0.0002,0.0144,0.0047,0.0101,0.0194,0.0002,0.0494,0.0157,64,22
low_friction,ensemble_mean_mpc,160,0.1437,0.0545,0.0938,0.2000,0.0002,0.0062,0.0042,0.0021,0.0103,0.0055,0.0254,0.0153,34,19
low_friction,domain_randomized_mpc,160,0.1125,0.0491,0.0688,0.1625,0.0002,0.0045,0.0035,0.0011,0.0082,0.0147,0.0186,0.0128,30,16
low_friction,adaptive_id_mpc,160,0.1437,0.0545,0.0938,0.2000,0.0002,0.0059,0.0042,0.0017,0.0101,0.0070,0.0245,0.0154,35,21
low_friction,robust_worst_case_mpc,160,-0.0625,0.0809,-0.1437,0.0187,0.1647,-0.0008,0.0075,-0.0080,0.0069,0.8268,0.0031,0.0251,50,54
low_friction,robust_mean_hybrid_mpc,160,0.1437,0.0545,0.0938,0.2000,0.0002,0.0073,0.0043,0.0031,0.0116,0.0020,0.0289,0.0159,35,19
low_friction,branch_counterfactual_mpc,160,0.1437,0.0545,0.0938,0.2000,0.0002,0.0062,0.0042,0.0022,0.0103,0.0032,0.0258,0.0152,31,18
low_friction,oracle_hidden_params,160,-0.3750,0.0772,-0.4562,-0.3000,0.0002,-0.0235,0.0047,-0.0282,-0.0187,0.0002,-0.0706,0.0143,9,86
nominal,random_push,160,0.3875,0.0886,0.3000,0.4750,0.0002,0.0800,0.0117,0.0681,0.0915,0.0002,0.2533,0.0372,136,24
nominal,nominal_single_branch_mpc,160,-0.0625,0.0731,-0.1375,0.0063,0.1367,-0.0027,0.0052,-0.0080,0.0021,0.3067,-0.0122,0.0178,40,45
nominal,ensemble_mean_mpc,160,-0.0375,0.0671,-0.1062,0.0312,0.3567,-0.0032,0.0049,-0.0083,0.0016,0.2074,-0.0132,0.0184,24,31
nominal,domain_randomized_mpc,160,-0.0375,0.0648,-0.1062,0.0250,0.3464,-0.0024,0.0048,-0.0075,0.0021,0.3269,-0.0105,0.0177,25,26
nominal,adaptive_id_mpc,160,-0.0187,0.0661,-0.0875,0.0437,0.6923,-0.0024,0.0046,-0.0072,0.0022,0.3107,-0.0096,0.0172,24,33
nominal,robust_worst_case_mpc,160,-0.1437,0.0812,-0.2313,-0.0625,0.0012,-0.0087,0.0065,-0.0152,-0.0021,0.0105,-0.0299,0.0224,48,56
nominal,robust_mean_hybrid_mpc,160,-0.0187,0.0726,-0.0938,0.0563,0.7268,-0.0003,0.0052,-0.0055,0.0048,0.9045,-0.0021,0.0191,31,26
nominal,branch_counterfactual_mpc,160,-0.0375,0.0671,-0.1062,0.0312,0.3567,-0.0028,0.0049,-0.0079,0.0019,0.2539,-0.0116,0.0181,23,30
nominal,oracle_hidden_params,160,-0.3000,0.0773,-0.3812,-0.2250,0.0002,-0.0207,0.0051,-0.0261,-0.0158,0.0002,-0.0667,0.0166,19,91
observation_noise,random_push,160,0.3875,0.0983,0.2938,0.4813,0.0002,0.0703,0.0116,0.0591,0.0820,0.0002,0.2218,0.0375,132,28
observation_noise,nominal_single_branch_mpc,160,0.0250,0.1013,-0.0750,0.1250,0.7203,0.0037,0.0076,-0.0038,0.0116,0.3304,0.0097,0.0248,81,79
observation_noise,ensemble_mean_mpc,160,0.0063,0.1078,-0.1000,0.1187,1.0000,0.0044,0.0071,-0.0029,0.0116,0.2379,0.0111,0.0229,83,77
observation_noise,domain_randomized_mpc,160,0.0063,0.1006,-0.0938,0.1062,1.0000,-0.0005,0.0065,-0.0067,0.0058,0.8845,-0.0016,0.0213,81,79
observation_noise,adaptive_id_mpc,160,0.0813,0.1013,-0.0187,0.1812,0.1532,0.0046,0.0064,-0.0019,0.0115,0.1687,0.0154,0.0212,91,69
observation_noise,robust_worst_case_mpc,160,-0.0125,0.1013,-0.1187,0.0875,0.9023,0.0019,0.0081,-0.0062,0.0100,0.6403,0.0060,0.0262,79,80
observation_noise,robust_mean_hybrid_mpc,160,0.0000,0.1043,-0.1000,0.1062,1.0000,0.0017,0.0071,-0.0055,0.0089,0.6441,0.0028,0.0230,87,73
observation_noise,branch_counterfactual_mpc,160,-0.0187,0.1020,-0.1187,0.0813,0.8185,0.0006,0.0069,-0.0061,0.0076,0.8588,0.0010,0.0225,85,75
observation_noise,oracle_hidden_params,160,-0.2313,0.1031,-0.3312,-0.1250,0.0002,-0.0156,0.0069,-0.0224,-0.0086,0.0002,-0.0507,0.0220,53,107
target_shift,random_push,160,0.3250,0.0912,0.2375,0.4125,0.0002,0.0568,0.0104,0.0461,0.0675,0.0002,0.1455,0.0265,127,33
target_shift,nominal_single_branch_mpc,160,0.0375,0.0546,-0.0187,0.0938,0.2584,0.0037,0.0048,-0.0011,0.0086,0.1370,0.0099,0.0119,44,33
target_shift,ensemble_mean_mpc,160,-0.0125,0.0347,-0.0500,0.0187,0.7373,-0.0018,0.0025,-0.0044,0.0006,0.1735,-0.0034,0.0060,11,15
target_shift,domain_randomized_mpc,160,-0.0187,0.0367,-0.0563,0.0187,0.5114,-0.0017,0.0026,-0.0045,0.0009,0.2067,-0.0036,0.0064,9,14
target_shift,adaptive_id_mpc,160,0.0125,0.0347,-0.0250,0.0437,0.7318,-0.0000,0.0031,-0.0031,0.0029,0.9848,0.0009,0.0075,18,16
target_shift,robust_worst_case_mpc,160,-0.1000,0.0655,-0.1625,-0.0312,0.0047,-0.0092,0.0054,-0.0147,-0.0038,0.0015,-0.0218,0.0131,36,53
target_shift,robust_mean_hybrid_mpc,160,-0.0187,0.0407,-0.0625,0.0187,0.5561,0.0016,0.0029,-0.0015,0.0045,0.2904,0.0046,0.0069,19,9
target_shift,branch_counterfactual_mpc,160,0.0000,0.0301,-0.0312,0.0312,1.0000,-0.0014,0.0026,-0.0042,0.0012,0.3164,-0.0024,0.0062,14,15
target_shift,oracle_hidden_params,160,-0.1562,0.0843,-0.2375,-0.0750,0.0007,-0.0138,0.0053,-0.0193,-0.0086,0.0002,-0.0329,0.0129,32,66
