split,method,episodes,posterior_entropy_final_mean,posterior_entropy_final_ci95,posterior_entropy_mean_mean,posterior_entropy_mean_ci95,near_true_branch_mass_final_mean,near_true_branch_mass_final_ci95,near_true_branch_mass_mean_mean,near_true_branch_mass_mean_ci95,branch_prediction_error_mean_mean,branch_prediction_error_mean_ci95,fallback_activations_mean,fallback_activations_ci95
actuation_noise,adaptive_id_mpc,160,0.8217,0.0128,0.8333,0.0159,0.3627,0.0134,0.3589,0.0126,0.0544,0.0025,0.0000,0.0000
actuation_noise,branch_counterfactual_mpc,160,0.8215,0.0133,0.8350,0.0161,0.3592,0.0132,0.3563,0.0129,0.0530,0.0024,0.0000,0.0000
actuation_noise,branch_counterfactual_mpc_v5,160,0.8188,0.0127,0.8240,0.0146,0.3621,0.0145,0.3590,0.0141,0.0585,0.0030,1.7875,0.0858
actuation_noise,domain_randomized_mpc,160,,,,,,,,,,,0.0000,0.0000
actuation_noise,ensemble_mean_mpc,160,,,,,,,,,,,0.0000,0.0000
actuation_noise,nominal_single_branch_mpc,160,,,,,,,,,,,0.0000,0.0000
actuation_noise,oracle_hidden_params,160,,,,,,,,,,,0.0000,0.0000
actuation_noise,random_push,160,,,,,,,,,,,0.0000,0.0000
actuation_noise,robust_mean_hybrid_mpc,160,,,,,,,,,,,0.0000,0.0000
actuation_noise,robust_worst_case_mpc,160,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,adaptive_id_mpc,160,0.5636,0.0145,0.6201,0.0156,0.3157,0.0284,0.2794,0.0229,0.0791,0.0028,0.0000,0.0000
adversarial_low_friction_heavy,branch_counterfactual_mpc,160,0.5505,0.0135,0.6159,0.0153,0.3190,0.0299,0.2789,0.0240,0.0781,0.0028,0.0000,0.0000
adversarial_low_friction_heavy,branch_counterfactual_mpc_v5,160,0.5596,0.0139,0.6165,0.0151,0.3176,0.0276,0.2771,0.0216,0.0798,0.0029,0.5437,0.1083
adversarial_low_friction_heavy,domain_randomized_mpc,160,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,ensemble_mean_mpc,160,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,nominal_single_branch_mpc,160,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,oracle_hidden_params,160,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,random_push,160,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,robust_mean_hybrid_mpc,160,,,,,,,,,,,0.0000,0.0000
adversarial_low_friction_heavy,robust_worst_case_mpc,160,,,,,,,,,,,0.0000,0.0000
combined_shift,adaptive_id_mpc,160,0.7245,0.0204,0.7461,0.0188,0.2695,0.0324,0.2531,0.0295,0.0636,0.0026,0.0000,0.0000
combined_shift,branch_counterfactual_mpc,160,0.7211,0.0217,0.7386,0.0208,0.2635,0.0294,0.2470,0.0266,0.0636,0.0026,0.0000,0.0000
combined_shift,branch_counterfactual_mpc_v5,160,0.7128,0.0212,0.7266,0.0201,0.2617,0.0296,0.2473,0.0269,0.0662,0.0028,1.1812,0.1400
combined_shift,domain_randomized_mpc,160,,,,,,,,,,,0.0000,0.0000
combined_shift,ensemble_mean_mpc,160,,,,,,,,,,,0.0000,0.0000
combined_shift,nominal_single_branch_mpc,160,,,,,,,,,,,0.0000,0.0000
combined_shift,oracle_hidden_params,160,,,,,,,,,,,0.0000,0.0000
combined_shift,random_push,160,,,,,,,,,,,0.0000,0.0000
combined_shift,robust_mean_hybrid_mpc,160,,,,,,,,,,,0.0000,0.0000
combined_shift,robust_worst_case_mpc,160,,,,,,,,,,,0.0000,0.0000
contact_offset,adaptive_id_mpc,160,0.6723,0.0225,0.6624,0.0166,0.3343,0.0255,0.3480,0.0223,0.1503,0.0051,0.0000,0.0000
contact_offset,branch_counterfactual_mpc,160,0.6828,0.0198,0.6635,0.0174,0.3166,0.0243,0.3521,0.0212,0.1487,0.0049,0.0000,0.0000
contact_offset,branch_counterfactual_mpc_v5,160,0.6824,0.0203,0.6593,0.0168,0.3262,0.0253,0.3588,0.0235,0.1486,0.0043,0.6625,0.1111
contact_offset,domain_randomized_mpc,160,,,,,,,,,,,0.0000,0.0000
contact_offset,ensemble_mean_mpc,160,,,,,,,,,,,0.0000,0.0000
contact_offset,nominal_single_branch_mpc,160,,,,,,,,,,,0.0000,0.0000
contact_offset,oracle_hidden_params,160,,,,,,,,,,,0.0000,0.0000
contact_offset,random_push,160,,,,,,,,,,,0.0000,0.0000
contact_offset,robust_mean_hybrid_mpc,160,,,,,,,,,,,0.0000,0.0000
contact_offset,robust_worst_case_mpc,160,,,,,,,,,,,0.0000,0.0000
heavy_object,adaptive_id_mpc,160,0.8499,0.0058,0.8745,0.0067,0.2367,0.0164,0.2283,0.0151,0.0363,0.0008,0.0000,0.0000
heavy_object,branch_counterfactual_mpc,160,0.8497,0.0059,0.8746,0.0067,0.2386,0.0168,0.2292,0.0152,0.0364,0.0008,0.0000,0.0000
heavy_object,branch_counterfactual_mpc_v5,160,0.8348,0.0075,0.8537,0.0085,0.2462,0.0173,0.2380,0.0161,0.0387,0.0009,1.9187,0.0576
heavy_object,domain_randomized_mpc,160,,,,,,,,,,,0.0000,0.0000
heavy_object,ensemble_mean_mpc,160,,,,,,,,,,,0.0000,0.0000
heavy_object,nominal_single_branch_mpc,160,,,,,,,,,,,0.0000,0.0000
heavy_object,oracle_hidden_params,160,,,,,,,,,,,0.0000,0.0000
heavy_object,random_push,160,,,,,,,,,,,0.0000,0.0000
heavy_object,robust_mean_hybrid_mpc,160,,,,,,,,,,,0.0000,0.0000
heavy_object,robust_worst_case_mpc,160,,,,,,,,,,,0.0000,0.0000
high_friction,adaptive_id_mpc,160,0.8522,0.0065,0.8707,0.0071,0.3592,0.0113,0.3398,0.0120,0.0392,0.0010,0.0000,0.0000
high_friction,branch_counterfactual_mpc,160,0.8511,0.0070,0.8700,0.0073,0.3598,0.0112,0.3403,0.0119,0.0391,0.0010,0.0000,0.0000
high_friction,branch_counterfactual_mpc_v5,160,0.8414,0.0083,0.8511,0.0092,0.3634,0.0127,0.3481,0.0134,0.0429,0.0015,1.9625,0.0422
high_friction,domain_randomized_mpc,160,,,,,,,,,,,0.0000,0.0000
high_friction,ensemble_mean_mpc,160,,,,,,,,,,,0.0000,0.0000
high_friction,nominal_single_branch_mpc,160,,,,,,,,,,,0.0000,0.0000
high_friction,oracle_hidden_params,160,,,,,,,,,,,0.0000,0.0000
high_friction,random_push,160,,,,,,,,,,,0.0000,0.0000
high_friction,robust_mean_hybrid_mpc,160,,,,,,,,,,,0.0000,0.0000
high_friction,robust_worst_case_mpc,160,,,,,,,,,,,0.0000,0.0000
light_object,adaptive_id_mpc,160,0.8550,0.0060,0.8755,0.0074,0.3218,0.0101,0.3187,0.0087,0.0356,0.0008,0.0000,0.0000
light_object,branch_counterfactual_mpc,160,0.8559,0.0058,0.8759,0.0073,0.3218,0.0101,0.3187,0.0088,0.0356,0.0008,0.0000,0.0000
light_object,branch_counterfactual_mpc_v5,160,0.8478,0.0061,0.8586,0.0074,0.3198,0.0122,0.3155,0.0116,0.0390,0.0011,1.9812,0.0273
light_object,domain_randomized_mpc,160,,,,,,,,,,,0.0000,0.0000
light_object,ensemble_mean_mpc,160,,,,,,,,,,,0.0000,0.0000
light_object,nominal_single_branch_mpc,160,,,,,,,,,,,0.0000,0.0000
light_object,oracle_hidden_params,160,,,,,,,,,,,0.0000,0.0000
light_object,random_push,160,,,,,,,,,,,0.0000,0.0000
light_object,robust_mean_hybrid_mpc,160,,,,,,,,,,,0.0000,0.0000
light_object,robust_worst_case_mpc,160,,,,,,,,,,,0.0000,0.0000
low_friction,adaptive_id_mpc,160,0.7800,0.0159,0.8303,0.0136,0.4382,0.0200,0.4262,0.0161,0.0410,0.0011,0.0000,0.0000
low_friction,branch_counterfactual_mpc,160,0.7796,0.0160,0.8300,0.0137,0.4380,0.0201,0.4260,0.0162,0.0410,0.0011,0.0000,0.0000
low_friction,branch_counterfactual_mpc_v5,160,0.7559,0.0166,0.7930,0.0156,0.4483,0.0215,0.4397,0.0183,0.0440,0.0014,1.4375,0.1249
low_friction,domain_randomized_mpc,160,,,,,,,,,,,0.0000,0.0000
low_friction,ensemble_mean_mpc,160,,,,,,,,,,,0.0000,0.0000
low_friction,nominal_single_branch_mpc,160,,,,,,,,,,,0.0000,0.0000
low_friction,oracle_hidden_params,160,,,,,,,,,,,0.0000,0.0000
low_friction,random_push,160,,,,,,,,,,,0.0000,0.0000
low_friction,robust_mean_hybrid_mpc,160,,,,,,,,,,,0.0000,0.0000
low_friction,robust_worst_case_mpc,160,,,,,,,,,,,0.0000,0.0000
nominal,adaptive_id_mpc,160,0.8563,0.0059,0.8731,0.0072,0.3693,0.0087,0.3662,0.0079,0.0352,0.0007,0.0000,0.0000
nominal,branch_counterfactual_mpc,160,0.8564,0.0060,0.8731,0.0072,0.3693,0.0088,0.3661,0.0079,0.0354,0.0007,0.0000,0.0000
nominal,branch_counterfactual_mpc_v5,160,0.8493,0.0059,0.8582,0.0073,0.3730,0.0105,0.3703,0.0100,0.0387,0.0011,1.9688,0.0365
nominal,domain_randomized_mpc,160,,,,,,,,,,,0.0000,0.0000
nominal,ensemble_mean_mpc,160,,,,,,,,,,,0.0000,0.0000
nominal,nominal_single_branch_mpc,160,,,,,,,,,,,0.0000,0.0000
nominal,oracle_hidden_params,160,,,,,,,,,,,0.0000,0.0000
nominal,random_push,160,,,,,,,,,,,0.0000,0.0000
nominal,robust_mean_hybrid_mpc,160,,,,,,,,,,,0.0000,0.0000
nominal,robust_worst_case_mpc,160,,,,,,,,,,,0.0000,0.0000
observation_noise,adaptive_id_mpc,160,0.8510,0.0061,0.8688,0.0073,0.3622,0.0092,0.3609,0.0083,0.0438,0.0011,0.0000,0.0000
observation_noise,branch_counterfactual_mpc,160,0.8462,0.0077,0.8654,0.0082,0.3699,0.0098,0.3640,0.0092,0.0441,0.0011,0.0000,0.0000
observation_noise,branch_counterfactual_mpc_v5,160,0.8453,0.0059,0.8588,0.0070,0.3658,0.0113,0.3614,0.0108,0.0459,0.0013,1.9750,0.0298
observation_noise,domain_randomized_mpc,160,,,,,,,,,,,0.0000,0.0000
observation_noise,ensemble_mean_mpc,160,,,,,,,,,,,0.0000,0.0000
observation_noise,nominal_single_branch_mpc,160,,,,,,,,,,,0.0000,0.0000
observation_noise,oracle_hidden_params,160,,,,,,,,,,,0.0000,0.0000
observation_noise,random_push,160,,,,,,,,,,,0.0000,0.0000
observation_noise,robust_mean_hybrid_mpc,160,,,,,,,,,,,0.0000,0.0000
observation_noise,robust_worst_case_mpc,160,,,,,,,,,,,0.0000,0.0000
target_shift,adaptive_id_mpc,160,0.8391,0.0071,0.8445,0.0085,0.3771,0.0106,0.3742,0.0103,0.0404,0.0011,0.0000,0.0000
target_shift,branch_counterfactual_mpc,160,0.8387,0.0070,0.8443,0.0084,0.3772,0.0107,0.3744,0.0103,0.0405,0.0011,0.0000,0.0000
target_shift,branch_counterfactual_mpc_v5,160,0.8352,0.0083,0.8389,0.0102,0.3746,0.0108,0.3718,0.0105,0.0414,0.0015,1.8500,0.0761
target_shift,domain_randomized_mpc,160,,,,,,,,,,,0.0000,0.0000
target_shift,ensemble_mean_mpc,160,,,,,,,,,,,0.0000,0.0000
target_shift,nominal_single_branch_mpc,160,,,,,,,,,,,0.0000,0.0000
target_shift,oracle_hidden_params,160,,,,,,,,,,,0.0000,0.0000
target_shift,random_push,160,,,,,,,,,,,0.0000,0.0000
target_shift,robust_mean_hybrid_mpc,160,,,,,,,,,,,0.0000,0.0000
target_shift,robust_worst_case_mpc,160,,,,,,,,,,,0.0000,0.0000
